t_name,gene_name,male_10,male_11,male_12,male_13,male_14A,male_14B,male_14C,male_14D,female_10,female_11,female_12,female_13,female_14A,female_14B,female_14C,female_14D
FBtr0084293,CG5377,13.573093,16.506186,9.803395,6.040581,1.127138,0.774391,3.513791,5.491726,14.527935,17.142466,11.804295,6.958668,0.969626,1.400185,3.183103,4.035318
FBtr0084256,Nrx-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0301485,Nrx-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334611,Nrx-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334607,Nrx-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334608,Nrx-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334609,Nrx-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334610,Nrx-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334612,Nrx-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0345228,Nrx-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0309681,mir-4952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0309682,mir-4952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0309683,mir-4952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0301486,CG7048,41.72311,32.941841,51.717991,50.025444,60.250641,62.531643,52.743912,42.234779,36.909473,46.417812,41.730186,72.248558,59.087173,63.428074,44.250031,41.008522
FBtr0084257,CG7048,58.629631,58.329613,70.374252,72.693893,81.984886,96.917656,71.770256,57.470154,52.363552,63.162128,56.783543,98.310822,80.401726,86.308517,62.730579,55.801552
FBtr0084292,CG5376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0084290,T-cp1,40.826534,0,0,0,0,0,0,0,11.027522,0,0,0,0,0,0,4.320405
FBtr0084291,T-cp1,158.636642,215.919266,172.612289,122.528931,82.008247,91.810837,55.694439,59.100109,192.75354,215.362396,133.481857,118.791161,85.537415,121.18631,87.967033,43.473232
FBtr0084258,CG7045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148199,0
FBtr0301483,CG7046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0084259,CG7046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0301484,Octbeta1R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0084260,Octbeta1R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0100322,Octbeta1R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0331930,Octbeta1R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0084289,CG5346,7.080187,7.312395,6.367484,0,0,0,34.538506,43.268616,4.23801,0,5.255829,0,0,0,31.636009,33.326633
FBtr0084288,CG33099,0,0,0,0,0,0,6.346627,3.696564,0,0,0,0,0,0,0,2.760065
FBtr0084287,CG33093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0084285,CG5326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0346362,CR45646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0346363,CR45647,0,0,0,0,0,0,0.556049,0.562153,0,0,0,0,0.576621,0,0,0.815248
FBtr0084283,AdipoR,0.788186,1.249004,0.795979,0.989264,1.309572,1.463628,2.160031,1.430919,1.505869,1.168504,0.822558,1.133029,1.670001,1.394555,2.243045,3.893014
FBtr0084282,AdipoR,31.151945,21.085928,28.689026,32.729027,21.772432,4.80777,21.765491,23.671204,25.60792,26.485584,30.036009,27.846113,19.602915,2.141728,20.992067,22.80707
FBtr0084284,AdipoR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334561,AdipoR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0308848,AdipoR,38.196445,25.854156,42.219097,40.13015,26.695906,31.556643,26.687395,29.024048,31.398726,32.474857,36.828148,34.143047,28.929247,42.931374,25.739073,28.956667
FBtr0334815,CR44062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0084261,bond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0084262,bond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0084263,bond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0084281,CG5278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0084264,CG33110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0084265,CSN6,87.351059,106.101303,103.601555,100.280914,147.403381,185.613281,139.260284,142.752563,91.745575,107.855316,82.456863,131.238159,117.688103,174.02652,160.26152,132.574432
FBtr0084280,Dph5,128.97702,147.384766,131.963211,107.834824,144.963348,114.354454,54.672359,72.10656,131.548401,171.063599,128.722336,148.006882,114.964912,131.0186,59.073143,40.698746
FBtr0084279,CG33107,11.549676,0,22.350857,7.045044,3.351119,7.783025,14.072819,1.676407,17.387688,12.205026,21.642963,27.27914,14.888487,6.666729,1.464869,6.080586
FBtr0084266,CG6937,70.075951,56.123409,15.740923,4.492385,2.057905,5.371447,41.563438,38.086479,92.942879,69.121849,21.011932,0,0,0,21.119419,31.253422
FBtr0084278,btn,0,0.443801,0,0,0,2.138895,1.42952,2.237781,0,0.269266,0,0,0.849016,0.919513,1.832654,1.134348
FBtr0113395,Efa6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0113396,Efa6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334559,Efa6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334560,Efa6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0302187,Efa6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0084277,CG31156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0084269,CG13843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0084270,EF-G2,8.013362,0,8.72577,0,7.112517,0,0,0,0,0,8.878348,9.520939,0,0,0,0
FBtr0344226,EF-G2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0304668,CG31161,0,0,0,0,0,0,0,2.289598,0,0,0,0,0,0,2.241518,0.502163
FBtr0084272,mRpL45,52.225822,72.173744,67.928787,61.283951,84.132202,88.65625,52.893501,66.459732,54.371021,78.376366,53.673347,80.91394,79.894226,100.058571,77.182671,63.228924
