SAMPID	Gene	h1	h2	SMTSD	is_eGene
GTEX-OIZI-0008	ENSG00000131871.14	83	79	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000132406.11	47	65	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000132646.10	81	60	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000132823.10	44	41	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000133318.13	58	69	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000133398.3	97	44	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000133983.14	385	332	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000134013.15	42	31	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000134440.11	67	93	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000134531.9	44	43	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000134905.16	89	48	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000135069.13	74	66	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000135211.5	115	88	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000135678.11	25	32	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000135698.9	40	29	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000135778.11	138	146	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000135821.17	16	35	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000135862.5	38	44	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000136143.14	36	28	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000136261.14	29	30	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000136731.12	42	34	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000136819.15	57	72	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000136827.11	56	48	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000136840.18	55	59	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000136891.13	33	42	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000136908.17	184	91	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000137563.11	48	77	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000138172.10	23	30	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000138175.8	110	111	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000138750.14	31	30	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000138758.11	43	46	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000139112.10	19	56	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000139168.7	66	76	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000139433.9	50	46	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000140319.10	1405	1217	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000140526.17	17	45	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000142156.14	31	51	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000142694.6	82	76	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000142871.16	196	174	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000142892.14	58	53	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000143013.12	46	56	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000143162.7	108	77	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000143314.12	79	71	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000143545.8	688	936	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000143549.19	94	121	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000143570.17	46	63	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000143575.14	81	132	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000143774.16	263	156	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000143811.18	29	66	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000144034.14	80	103	Cells - Cultured fibroblasts	TRUE
