GeneID	Tissue	Expr
ENSG00000142615.7	Pancreas	5626.0
ENSG00000142615.7	Pancreas	1558.0
ENSG00000142615.7	Pancreas	963.9
ENSG00000142615.7	Pancreas	15350.0
ENSG00000142615.7	Pancreas	13530.0
ENSG00000142615.7	Pancreas	6616.0
ENSG00000142615.7	Pancreas	6285.0
ENSG00000142615.7	Pancreas	4204.0
ENSG00000142615.7	Pancreas	11580.0
ENSG00000142615.7	Pancreas	3307.0
ENSG00000142615.7	Pancreas	3354.0
ENSG00000142615.7	Pancreas	5941.0
ENSG00000142615.7	Pancreas	2219.0
ENSG00000142615.7	Pancreas	9869.0
ENSG00000142615.7	Pancreas	10180.0
ENSG00000142615.7	Pancreas	1536.0
ENSG00000142615.7	Pancreas	5015.0
ENSG00000142615.7	Pancreas	8979.0
ENSG00000142615.7	Pancreas	4462.0
ENSG00000142615.7	Pancreas	7674.0
ENSG00000142615.7	Pancreas	3550.0
ENSG00000142615.7	Pancreas	5955.0
ENSG00000142615.7	Pancreas	7782.0
ENSG00000142615.7	Pancreas	4277.0
ENSG00000142615.7	Pancreas	2579.0
ENSG00000142615.7	Pancreas	6780.0
ENSG00000142615.7	Pancreas	4144.0
ENSG00000142615.7	Pancreas	5499.0
ENSG00000142615.7	Pancreas	3873.0
ENSG00000142615.7	Pancreas	3099.0
ENSG00000142615.7	Pancreas	6810.0
ENSG00000142615.7	Pancreas	9222.0
ENSG00000142615.7	Pancreas	4206.0
ENSG00000142615.7	Pancreas	2999.0
ENSG00000142615.7	Pancreas	5233.0
ENSG00000142615.7	Pancreas	9058.0
ENSG00000142615.7	Pancreas	6672.0
ENSG00000142615.7	Pancreas	1026.0
ENSG00000142615.7	Pancreas	184.7
ENSG00000142615.7	Pancreas	1730.0
ENSG00000142615.7	Pancreas	399.3
ENSG00000142615.7	Pancreas	6521.0
ENSG00000142615.7	Pancreas	3053.0
ENSG00000142615.7	Pancreas	3402.0
ENSG00000142615.7	Pancreas	3902.0
ENSG00000142615.7	Pancreas	87.7
ENSG00000142615.7	Pancreas	10110.0
ENSG00000142615.7	Pancreas	9418.0
ENSG00000142615.7	Pancreas	6117.0
ENSG00000142615.7	Pancreas	284.6
ENSG00000142615.7	Pancreas	2671.0
ENSG00000142615.7	Pancreas	7700.0
ENSG00000142615.7	Pancreas	5576.0
ENSG00000142615.7	Pancreas	8871.0
ENSG00000142615.7	Pancreas	3200.0
ENSG00000142615.7	Pancreas	8277.0
ENSG00000142615.7	Pancreas	7068.0
ENSG00000142615.7	Pancreas	4415.0
ENSG00000142615.7	Pancreas	3639.0
ENSG00000142615.7	Pancreas	5516.0
ENSG00000142615.7	Pancreas	1739.0
ENSG00000142615.7	Pancreas	5118.0
ENSG00000142615.7	Pancreas	13010.0
ENSG00000142615.7	Pancreas	4962.0
ENSG00000142615.7	Pancreas	10590.0
ENSG00000142615.7	Pancreas	2353.0
ENSG00000142615.7	Pancreas	5161.0
ENSG00000142615.7	Pancreas	3314.0
ENSG00000142615.7	Pancreas	2599.0
ENSG00000142615.7	Pancreas	1119.0
ENSG00000142615.7	Pancreas	8328.0
ENSG00000142615.7	Pancreas	3881.0
ENSG00000142615.7	Pancreas	293.7
ENSG00000142615.7	Pancreas	2708.0
ENSG00000142615.7	Pancreas	10720.0
ENSG00000142615.7	Pancreas	5486.0
ENSG00000142615.7	Pancreas	12410.0
ENSG00000142615.7	Pancreas	6311.0
ENSG00000142615.7	Pancreas	6162.0
ENSG00000142615.7	Pancreas	14070.0
ENSG00000142615.7	Pancreas	5944.0
ENSG00000142615.7	Pancreas	9770.0
ENSG00000142615.7	Pancreas	1350.0
ENSG00000142615.7	Pancreas	4147.0
ENSG00000142615.7	Pancreas	7677.0
